RBG_CYC_83755_Nw_c0_41V_40C_180416_Lowercutoff_100DOD_C5C5_0000_08_1 (269953 Points)
Time (s)	Current (mAh)
3658	0
3659	-40.38
3958	-40.38
4258	-40.38
4558	-40.38
4858	-40.39
5158	-40.38
5458	-40.38
5758	-40.38
6058	-40.38
6358	-40.38
6658	-40.39
6958	-40.38
7258	-40.38
7558	-40.38
7858	-40.38
8158	-40.38
8458	-40.38
8758	-40.38
9058	-40.38
9358	-40.38
9658	-40.38
9958	-40.38
10258	-40.38
10558	-40.39
10858	-40.38
11158	-40.38
11458	-40.38
11758	-40.38
12058	-40.38
12358	-40.38
12658	-40.38
12958	-40.38
13258	-40.38
13558	-40.38
13858	-40.39
14158	-40.38
14458	-40.38
14758	-40.38
15058	-40.38
15358	-40.39
15658	-40.38
15958	-40.38
16258	-40.38
16558	-40.38
16858	-40.39
17158	-40.38
17366	-40.38
17458	-40.38
17599	-40.39
17713	-40.38
17758	-40.38
17843	-40.38
17881	-40.38
17882	40.38
17889	40.38
17914	40.38
17976	40.38
18093	40.39
18181	40.38
18382	40.38
18481	40.38
18781	40.38
19081	40.38
19381	40.38
19681	40.39
19981	40.39
20281	40.38
20581	40.38
20881	40.38
21181	40.38
21481	40.38
21781	40.38
22081	40.38
22381	40.38
22681	40.38
22981	40.38
23281	40.38
23581	40.39
23881	40.38
24181	40.38
24481	40.39
24781	40.38
25081	40.38
25381	40.38
25681	40.38
25981	40.38
26281	40.38
26581	40.38
26881	40.39
27181	40.38
27481	40.38
27781	40.39
28081	40.38
28381	40.39
28681	40.38
28981	40.38
29281	40.38
29581	40.38
29881	40.39
30181	40.38
30481	40.38
30781	40.38
31081	40.39
31381	40.39
31681	40.38
31981	40.39
32281	40.39
32581	40.38
32881	40.38
33181	40.38
33481	40.38
33781	40.38
34081	40.39
34381	40.38
34681	40.38
34981	40.39
35281	40.38
35581	40.39
35881	40.38
36181	40.38
36481	40.38
36781	40.39
37081	40.38
37381	24.29
37681	12.31
37791	10.07
37792	-40.38
38091	-40.38
38391	-40.38
38691	-40.39
38991	-40.39
39291	-40.38
39591	-40.38
39891	-40.38
40191	-40.38
40491	-40.39
40791	-40.39
41091	-40.38
41391	-40.38
41691	-40.38
41991	-40.38
42291	-40.38
42591	-40.38
42891	-40.38
43191	-40.38
43491	-40.38
43791	-40.39
44091	-40.38
44391	-40.38
44691	-40.38
44991	-40.38
45291	-40.38
45591	-40.38
45891	-40.38
46191	-40.39
46491	-40.38
46791	-40.38
47091	-40.38
47391	-40.38
47691	-40.38
47991	-40.39
48291	-40.38
48591	-40.38
48891	-40.38
49191	-40.38
49491	-40.39
49791	-40.38
50091	-40.39
50391	-40.38
50691	-40.38
50991	-40.38
51291	-40.38
51591	-40.38
51891	-40.38
52191	-40.38
52491	-40.38
52791	-40.39
53091	-40.38
53391	-40.38
53691	-40.38
53991	-40.38
54291	-40.38
54591	-40.38
54891	-40.38
55191	-40.38
55491	-40.38
55791	-40.38
56091	-40.38
56391	-40.38
56691	-40.38
56900	-40.38
