RBG_CYC_83758_Nw_c0_41V_40C_180416_Lowercutoff_100DOD_C3C3_0000_11_3 (300407 Points)
Capacity (mAh)	Voltage (V)
0	3.7912
0	3.7912
0	3.7782
5.61	3.7406
11.21	3.7171
16.82	3.6954
22.42	3.6755
28.03	3.6573
33.63	3.6414
39.24	3.6269
44.84	3.6145
50.45	3.6024
56.05	3.5912
61.66	3.5804
67.26	3.5701
72.87	3.5599
78.47	3.5491
84.08	3.5376
89.68	3.5252
95.29	3.5125
100.89	3.4979
106.5	3.4818
112.1	3.4629
117.71	3.4424
123.31	3.4238
128.92	3.4055
134.52	3.3835
140.13	3.3547
145.73	3.3125
149.52	3.2623
151.34	3.2238
153.02	3.1736
154.31	3.1231
155.33	3.0726
156.16	3.0226
156.49	2.9991
0	3.1569
0.15	3.2087
0.52	3.2592
1.35	3.3094
2.97	3.3596
5.55	3.4099
5.61	3.4102
10.56	3.4604
11.21	3.4626
16.82	3.4793
22.42	3.4936
28.03	3.5072
33.63	3.5205
39.24	3.5357
44.84	3.5534
50.45	3.5708
56.05	3.589
61.66	3.6055
67.26	3.6185
72.87	3.629
78.47	3.6387
84.08	3.6476
89.68	3.6563
95.29	3.6653
100.89	3.6749
106.5	3.6855
112.1	3.6972
117.71	3.7103
123.31	3.7248
128.92	3.7416
134.52	3.7605
140.13	3.781
145.73	3.8036
151.34	3.8265
156.94	3.8501
162.55	3.8743
168.15	3.8988
173.76	3.9233
179.36	3.9477
184.97	3.9725
190.57	3.998
196.18	4.0237
201.78	4.05
207.39	4.0767
212.81	4.0981
215.55	4.0981
216.79	4.0984
216.82	4.0981
0	4.086
5.61	4.0404
11.21	4.0088
16.82	3.9794
22.42	3.9508
28.03	3.9223
33.63	3.8929
39.24	3.8628
44.84	3.834
50.45	3.807
56.05	3.7819
61.66	3.7574
67.26	3.7341
72.87	3.7121
78.47	3.6917
84.08	3.6721
89.68	3.6545
95.29	3.639
100.89	3.625
106.5	3.6123
112.1	3.6005
117.71	3.5897
123.31	3.5791
128.92	3.5692
134.52	3.5587
140.13	3.5478
145.73	3.5363
151.34	3.5239
156.94	3.51
162.55	3.4945
168.15	3.4774
173.76	3.4585
179.36	3.4387
184.97	3.4216
190.57	3.4037
196.18	3.3804
201.78	3.35
207.39	3.3041
210.73	3.2539
212.82	3.2034
212.99	3.1987
214.49	3.1479
215.66	3.0977
216.6	3.0471
217.36	2.9997
0	3.1225
0.07	3.1739
0.37	3.2251
1.01	3.2753
2.3	3.3258
4.39	3.3758
5.61	3.3978
9.27	3.448
11.21	3.4592
16.82	3.4765
22.42	3.4905
28.03	3.5038
33.63	3.5171
39.24	3.5326
44.84	3.5497
50.45	3.5673
56.05	3.5856
61.66	3.6024
67.26	3.6163
72.87	3.6275
78.47	3.6371
84.08	3.6458
89.68	3.6548
95.29	3.6638
100.89	3.6731
106.5	3.6833
112.1	3.6951
117.71	3.7078
123.31	3.7224
128.92	3.7388
134.52	3.7574
140.13	3.7779
145.73	3.7999
151.34	3.8228
156.94	3.8467
162.55	3.8709
168.15	3.8953
173.76	3.9195
179.36	3.9443
184.97	3.9691
190.57	3.9946
196.18	4.0203
201.78	4.0466
207.39	4.0733
212.94	4.0981
215.93	4.0981
217.24	4.0981
217.31	4.0981
0	4.0869
5.61	4.0404
11.21	4.0085
16.82	3.9791
22.42	3.9502
28.03	3.9214
33.63	3.8913
39.24	3.8612
44.84	3.8327
50.45	3.8064
56.05	3.7813
61.66	3.7568
67.26	3.7335
72.87	3.7118
78.47	3.691
84.08	3.6715
89.68	3.6538
95.29	3.6383
100.89	3.6244
106.5	3.612
112.1	3.5999
117.71	3.5894
123.31	3.5791
128.92	3.5689
134.52	3.5587
140.13	3.5478
145.73	3.5363
151.34	3.5236
156.94	3.5097
162.55	3.4936
168.15	3.4762
173.76	3.4573
179.36	3.4381
184.97	3.4213
190.57	3.4037
196.18	3.381
201.78	3.3506
207.39	3.3041
210.67	3.2539
212.77	3.2031
212.99	3.1972
214.5	3.146
215.7	3.0958
216.67	3.0453
217.44	2.9982
0	3.1147
0.11	3.1656
0.41	3.217
1.1	3.2679
2.45	3.3184
4.56	3.3686
5.61	3.3882
8.95	3.4384
11.21	3.4567
16.82	3.4743
22.42	3.4886
28.03	3.5019
33.63	3.5153
39.24	3.5301
44.84	3.5472
50.45	3.5652
56.05	3.5835
61.66	3.6008
67.26	3.6148
72.87	3.6263
78.47	3.6362
84.08	3.6452
89.68	3.6535
95.29	3.6628
100.89	3.6724
106.5	3.6824
112.1	3.6938
117.71	3.7062
123.31	3.7211
128.92	3.7375
134.52	3.7562
140.13	3.7763
145.73	3.7983
151.34	3.8216
156.94	3.8454
162.55	3.8696
168.15	3.8941
173.76	3.918
179.36	3.9431
184.97	3.9682
190.57	3.9933
196.18	4.019
201.78	4.0457
207.39	4.0727
212.97	4.0981
216.03	4.0981
217.35	4.0981
217.38	4.0981
0	4.0869
5.61	4.0407
11.21	4.0088
16.82	3.9787
22.42	3.9496
28.03	3.9205
33.63	3.8907
39.24	3.86
44.84	3.8321
50.45	3.8058
56.05	3.7806
61.66	3.7565
67.26	3.7332
72.87	3.7112
78.47	3.6904
84.08	3.6709
89.68	3.6532
95.29	3.638
100.89	3.6238
106.5	3.6114
112.1	3.5996
117.71	3.589
123.31	3.5785
128.92	3.5686
134.52	3.5584
140.13	3.5475
145.73	3.536
151.34	3.5233
156.94	3.5091
162.55	3.4926
168.15	3.4753
173.76	3.4564
179.36	3.4375
184.97	3.421
190.57	3.403
196.18	3.381
201.78	3.3506
207.39	3.3032
210.56	3.253
212.65	3.2028
212.99	3.1935
214.5	3.1423
215.7	3.0918
216.69	3.0403
217.38	2.9991
0	3.1094
0.11	3.1606
0.47	3.2127
1.21	3.2629
2.58	3.3134
4.67	3.3634
5.61	3.381
8.8	3.4312
11.21	3.4545
16.82	3.4731
22.42	3.4874
28.03	3.501
33.63	3.5143
39.24	3.5289
44.84	3.5456
50.45	3.5639
56.05	3.5822
61.66	3.5996
67.26	3.6139
72.87	3.6256
78.47	3.6359
84.08	3.6445
89.68	3.6529
95.29	3.6622
100.89	3.6715
106.5	3.6817
112.1	3.6932
117.71	3.7056
123.31	3.7205
128.92	3.7366
134.52	3.7555
140.13	3.7757
145.73	3.7977
151.34	3.8206
156.94	3.8448
162.55	3.869
168.15	3.8932
173.76	3.9177
179.36	3.9425
184.97	3.9676
190.57	3.993
196.18	4.0187
201.78	4.0451
207.39	4.0721
212.97	4.0981
216.05	4.0981
217.38	4.0981
217.46	4.0981
0	4.0869
5.61	4.0407
11.21	4.0088
16.82	3.9791
22.42	3.9496
28.03	3.9202
33.63	3.8901
39.24	3.8597
44.84	3.8318
50.45	3.8054
56.05	3.7803
61.66	3.7565
67.26	3.7332
72.87	3.7112
78.47	3.6904
84.08	3.6709
89.68	3.6532
95.29	3.638
100.89	3.6238
106.5	3.6114
112.1	3.5996
117.71	3.589
123.31	3.5785
128.92	3.5686
134.52	3.5584
140.13	3.5475
145.73	3.536
151.34	3.523
156.94	3.5091
162.55	3.4923
168.15	3.4743
173.76	3.4554
179.36	3.4371
184.97	3.421
190.57	3.403
196.18	3.3813
201.78	3.3506
207.39	3.3026
210.51	3.2524
212.6	3.2021
212.99	3.1913
214.49	3.1411
215.68	3.0905
216.69	3.0397
217.36	2.9991
0	3.1048
0.13	3.1591
0.52	3.2093
1.31	3.2595
2.71	3.3097
4.8	3.3599
5.61	3.3748
8.67	3.425
11.21	3.452
21.02	3.483
22.42	3.4864
28.03	3.5001
33.63	3.5134
39.24	3.5277
44.84	3.5444
50.45	3.5627
56.05	3.581
61.66	3.5987
67.26	3.6132
72.87	3.625
78.47	3.6352
84.08	3.6442
89.68	3.6529
95.29	3.6619
100.89	3.6709
106.5	3.6811
112.1	3.6926
117.71	3.7053
123.31	3.7202
128.92	3.736
134.52	3.7549
140.13	3.7754
145.73	3.7974
151.34	3.8203
156.94	3.8445
162.55	3.8687
168.15	3.8932
173.76	3.9177
179.36	3.9422
184.97	3.967
190.57	3.9924
196.18	4.0184
201.78	4.0451
207.39	4.0724
212.97	4.0981
216.05	4.0981
217.36	4.0981
